,target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,classification
48,https://www.standardmedia.co.ke/branding-voice/article/2001460388/xi-addresses-ciie-calls-for-joint-efforts-for-bright-future-of-openness-prosperity,2022-11-04,standardmedia.co.ke,Xinhua,http://en.people.cn/n3/2022/1105/c90000-10167597.html,2022-11-05,en.people.cn,0.8214285714285714,Xinhua,https://english.news.cn/20221105/552150cb74d44de786e78b502158b5b7/c.html,2022-11-05,english.news.cn,0.8214285714285714,Xinhua,,,,,,,,,,,,,,,,state-media
50,https://www.standardmedia.co.ke/testbed/branding-voice/article/2001462182/africa-urges-climate-actions-rather-than-broken-promises-double-standard,2022-11-20,standardmedia.co.ke,Xinhua,http://en.people.cn/n3/2022/1128/c90000-10176848.html,2022-11-28,en.people.cn,0.8717948717948718,Xinhua,,,,,,,,,,,,,,,,,,,,,state-media
51,https://www.standardmedia.co.ke/business/amp/branding-voice/article/2001460388/xi-addresses-ciie-calls-for-joint-efforts-for-bright-future-of-openness-prosperity,2022-11-11,standardmedia.co.ke,,http://en.people.cn/n3/2022/1105/c90000-10167597.html,2022-11-05,en.people.cn,1.0,Xinhua,https://english.news.cn/20221105/552150cb74d44de786e78b502158b5b7/c.html,2022-11-05,english.news.cn,1.0,Xinhua,,,,,,,,,,,,,,,,unattributed
52,https://www.standardmedia.co.ke/sports/football/article/2001461335/blame-me-for-defeat-to-netherlands-says-senegal-coach-aliou-cisse,2022-11-22,standardmedia.co.ke,,http://english.news.cn/20221122/62d160d7e71845e69ff6459908989482/c.html,2022-11-22,english.news.cn,0.6923076923076923,Xinhua,,,,,,,,,,,,,,,,,,,,,unattributed
53,https://www.standardmedia.co.ke/sports/branding-voice/article/2001460388/xi-addresses-ciie-calls-for-joint-efforts-for-bright-future-of-openness-prosperity,2022-11-11,standardmedia.co.ke,,http://en.people.cn/n3/2022/1105/c90000-10167597.html,2022-11-05,en.people.cn,0.8461538461538461,Xinhua,https://english.news.cn/20221105/552150cb74d44de786e78b502158b5b7/c.html,2022-11-05,english.news.cn,0.8461538461538461,Xinhua,,,,,,,,,,,,,,,,unattributed
55,https://www.standardmedia.co.ke/testbed/branding-voice/article/2001460820/chinas-vision-of-global-governance-for-addressing-common-challenges,2022-11-13,standardmedia.co.ke,Xinhua,http://www.chinadaily.com.cn/a/202211/14/WS63722bb2a310491754329a15.html,2022-11-14,chinadaily.com.cn,0.7567567567567568,Xinhua,http://en.people.cn/n3/2022/1114/c90000-10171061.html,2022-11-14,en.people.cn,0.7567567567567568,Xinhua,https://www.chinadaily.com.cn/a/202211/14/WS63722bb2a310491754329a15.html,2022-11-14,chinadaily.com.cn,0.7567567567567568,Xinhua,,,,,,,,,,,state-media
56,https://nairobiwire.com/2022/03/president-uhuru-welcomes-drc-to-the-eac.html,2022-03-30,nairobiwire.com,,https://africa.cgtn.com/2022/03/30/democratic-republic-of-congo-formally-admitted-to-the-east-african-community,2022-03-30,africa.cgtn.com,0.9473684210526316,,,,,,,,,,,,,,,,,,,,,,unattributed
57,https://www.standardmedia.co.ke/business/football/article/2001459500/fifa-report-shows-growth-in-womens-football,2022-10-31,standardmedia.co.ke,,http://www.chinadaily.com.cn/a/202211/01/WS636071cea310fd2b29e7f96c.html,2022-11-01,chinadaily.com.cn,0.5238095238095238,,https://www.chinadaily.com.cn/a/202211/01/WS636071cea310fd2b29e7f96c.html,2022-11-01,chinadaily.com.cn,0.5238095238095238,,,,,,,,,,,,,,,,,unattributed
58,https://www.standardmedia.co.ke/health/football/article/2001457499/guardiola-breaks-silence-on-haalands-future-after-reports-he-could-already-be-planning-a-move-out,2022-10-06,standardmedia.co.ke,,http://www.chinadaily.com.cn/a/202210/07/WS633f77c6a310fd2b29e7b319.html,2022-10-07,chinadaily.com.cn,0.7368421052631579,China Daily,https://www.chinadaily.com.cn/a/202210/07/WS633f77c6a310fd2b29e7b319.html,2022-10-07,chinadaily.com.cn,0.7368421052631579,China Daily,,,,,,,,,,,,,,,,unattributed
59,https://www.standardmedia.co.ke/testbed/article/2001458688/chinese-modernization-written-into-key-cpc-congress-report,2022-07-02,standardmedia.co.ke,Xinhua,http://www.ecns.cn/news/politics/2022-10-19/detail-ihcfacfv5463471.shtml,2022-10-19,ecns.cn,0.7931034482758621,Xinhua,http://en.people.cn/n3/2022/1019/c90000-10160706.html,2022-10-19,en.people.cn,0.8275862068965517,Xinhua,,,,,,,,,,,,,,,,state-media
