target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,source_5,source_5_date,source_5_site,source_5_overlap,source_5_attributions,source_6,source_6_date,source_6_site,source_6_overlap,source_6_attributions,classification
https://newsghana.com.gh/china-reaps-fruitful-results-in-ecological-conservation-along-yellow-river,2022-09-23,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0923/c90000-10151239.html,2022-09-23,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-sees-rapidly-growing-coffee-market,2022-07-23,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0723/c90000-10126541.html,2022-07-23,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/chinas-trade-in-services-moves-onto-fast-lane-of-development,2022-05-16,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0514/c90000-10096600.html,2022-05-14,en.people.cn,0.7407407407407407,People's Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/chinas-east-to-west-computing-resource-transfer-project-in-full-swing,2022-06-21,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0621/c90000-10112336.html,2022-06-21,en.people.cn,0.8076923076923077,People's Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/russia-hits-more-ukraine-targets-more-countries-urge-evacuation-of-nationals,2022-02-26,newsghana.com.gh,Xinhua,http://en.people.cn/n3/2022/0227/c90000-9963279.html,2022-02-27,en.people.cn,0.7391304347826086,Xinhua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://myinfo.com.gh/2022/04/jokic-nuggets-avoid-sweep-with-game-4-victory-over-warriors,2022-04-25,myinfo.com.gh,,http://www.chinadaily.com.cn/a/202204/26/WS6267441ca310fd2b29e59463.html,2022-04-26,chinadaily.com.cn,0.7419354838709677,China Daily,https://www.chinadaily.com.cn/a/202204/26/WS6267441ca310fd2b29e59463.html,2022-04-26,chinadaily.com.cn,0.7419354838709677,China Daily,,,,,,,,,,,,,,,,,,,,,,,,,,unattributed
https://newsghana.com.gh/the-forest-chief-scheme-leads-to-lusher-mountains-in-central-chinas-hunan-province,2022-08-09,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0809/c90000-10132943.html,2022-08-09,en.people.cn,0.76,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-has-made-extraordinary-development-achievements-cambodian-queen-mother,2022-07-08,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0708/c90000-10120629.html,2022-07-08,en.people.cn,0.8064516129032258,People's Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/construction-of-greater-bay-area-achieves-prominent-progress,2022-04-23,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0424/c90000-10088330.html,2022-04-24,en.people.cn,0.8076923076923077,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/development-of-rural-express-industry-gives-a-boost-to-rural-vitalization,2022-07-28,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0728/c90000-10128356.html,2022-07-28,en.people.cn,0.6842105263157895,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
