target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,classification,country,source_5,source_5_date,source_5_site,source_5_overlap,source_5_attributions,source_6,source_6_date,source_6_site,source_6_overlap,source_6_attributions,Country
https://newsghana.com.gh/ai-facilitates-implementation-of-dynamic-zero-covid-policy-in-shenzhen,2022-04-21,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0422/c90000-10087757.html,2022-04-22,en.people.cn,0.76,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinas-development-an-epic-story-chairman-of-kuhn-foundation,2022-05-06,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0501/c90000-10091608.html,2022-05-01,en.people.cn,0.7777777777777778,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/volunteers-add-colors-to-beijing-olympic-winter-games,2022-02-15,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0215/c90000-9957930.html,2022-02-15,en.people.cn,0.72,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinese-rural-children-sing-olympic-anthem-at-beijing-2022-opening-ceremony,2022-02-11,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0209/c90000-9955232.html,2022-02-09,en.people.cn,0.76,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/improved-ecology-prospers-aquaculture-in-chinas-fujian,2022-07-01,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0701/c90000-10117491.html,2022-07-01,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/clay-sculpture-maker-in-china-revitalizes-the-traditional-handcraft-via-short-videos,2022-05-12,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0512/c90000-10095527.html,2022-05-12,en.people.cn,0.8076923076923077,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/agenda-of-using-xinjiang-to-contain-china-will-never-succeed,2022-11-08,newsghana.com.gh,People's Daily,http://www.chinadaily.com.cn/a/202211/09/WS636aece2a3105ca1f2274d36.html,2022-11-09,chinadaily.com.cn,0.8076923076923077,People's Daily Online,https://www.chinadaily.com.cn/a/202211/09/WS636aece2a3105ca1f2274d36.html,2022-11-09,chinadaily.com.cn,0.8076923076923077,People's Daily Online,http://en.people.cn/n3/2022/1108/c90000-10168628.html,2022-11-08,en.people.cn,0.8076923076923077,People's Daily Original,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/rcep-keeps-releasing-dividends,2022-07-05,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0705/c90000-10118954.html,2022-07-05,en.people.cn,0.8076923076923077,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinas-modernization-opens-up-broader-prospects-for-common-development-of-mankind,2022-09-23,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0923/c90000-10151240.html,2022-09-23,en.people.cn,0.7,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/public-interest-library-in-rural-fujian-warms,2022-05-13,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0513/c90000-10096121.html,2022-05-13,en.people.cn,0.7931034482758621,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/japan-should-destroy-acws-in-china-as-soon-as-possible,2022-09-20,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0920/c90000-10149388.html,2022-09-20,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-firm-as-rock-in-its-resolution-to-achieve-reunification-of-the-motherland,2022-08-04,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0804/c90000-10130987.html,2022-08-04,en.people.cn,0.8181818181818182,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-advances-high-quality-construction-of-greater-bay-area,2022-05-31,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0531/c90000-10103582.html,2022-05-31,en.people.cn,0.8214285714285714,People's Daily Online Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
